"","ppfd"
"963",30.4875655360002
"964",30.4875655360002
"965",30.4875655360002
"966",30.4875655360002
"967",30.4875655360002
"968",30.4875655360002
"969",30.4875655360002
"970",30.4875655360002
"971",30.4875655360002
"972",30.4875655360002
"973",30.4875655360002
"974",30.4875655360002
"975",30.4875655360002
"976",30.4875655360002
"977",30.4875655360002
"978",30.4875655360002
"979",30.4875655360002
"980",39.7371952025124
"981",NA
"982",40.7521344623958
"983",NA
"984",36.0749656163201
"985",32.6884985887207
"986",NA
"987",40.7603944199998
"988",NA
"989",NA
"990",34.5823775000001
"991",34.8808720000003
"992",42.41100228
"993",39.7875282799999
"994",33.5331561999999
"995",40.3441449999997
"996",31.6510403000012
"997",NA
"998",32.4478411800003
"999",37.7109031399999
"1000",43.6345633399993
"1001",43.6345633399993
"1002",43.6345633399993
"1003",43.6345633399993
"1004",43.6345633399993
"1005",43.6345633399993
"1006",39.5879781999995
"1007",35.3773327104013
"1008",NA
"1009",NA
"1010",36.0781357599998
"1011",36.3607610999996
"1012",37.7728909199993
"1013",36.7202023
"1014",37.6954498000005
"1015",34.872329159999
"1016",32.6339316800003
"1017",NA
"1018",NA
"1019",NA
"1020",NA
"1021",37.2685043200003
"1022",35.4817508360953
"1023",32.6899466636801
"1024",38.2107118608643
"1025",43.8640224945763
"1026",36.6197211942403
"1027",29.8578840394084
"1028",NA
"1029",NA
"1030",NA
"1031",NA
"1032",NA
"1033",NA
"1034",40.1944887028006
"1035",39.158636937203
"1036",36.1377654648318
"1037",39.395522905985
"1038",36.2526904609278
"1039",30.8984767175239
"1040",36.56388714496
"1041",31.9798759608816
"1042",35.04501253248
"1043",41.8024792396811
"1044",42.0558085642462
"1045",NA
"1046",40.3716564040624
"1047",NA
"1048",NA
"1049",35.5803214372482
"1050",34.8593814432012
"1051",43.4485811574932
"1052",35.1728872135681
"1053",36.1707635974387
"1054",NA
"1055",34.75202832
"1056",38.31310298
"1057",35.5092889
"1058",36.1763654999998
"1059",35.51918562
"1060",36.74854946
"1061",37.17672506
"1062",39.1653602400003
"1063",33.3118624399996
"1064",35.5195113399998
"1065",33.77396018
"1066",31.607193899999
"1067",36.53590938
"1068",34.22150048
"1069",NA
"1070",NA
"1071",NA
"1072",NA
"1073",NA
"1074",NA
"1075",NA
"1076",NA
"1077",NA
"1078",NA
"1079",NA
"1080",NA
"1081",NA
"1082",NA
"1083",NA
"1084",NA
"1085",NA
"1086",NA
"1087",NA
"1088",NA
"1089",NA
"1090",NA
"1091",NA
"1092",NA
"1093",NA
"1094",NA
"1095",NA
"1096",NA
"1097",NA
"1098",NA
"1099",NA
"1100",NA
"1101",NA
"1102",NA
"1103",NA
"1104",NA
"1105",NA
"1106",NA
"1107",NA
"1108",NA
"1109",NA
"1110",NA
