"","fapar"
"301",0.614327181850903
"302",0.291268113702558
"303",0.511262994336573
"304",0.530123274077976
"305",0.398308791977666
"306",0.526010385220247
"307",0.693880006179216
"308",0.439332118816673
"309",0.439332118816673
"310",0.439332118816673
"311",0.40932846120247
"312",0.40932846120247
"313",0.58207686423759
"314",0.58207686423759
"315",0.58207686423759
"316",0.501098400913241
"317",0.562483968272809
"318",0.441537459433076
"319",0.594962828780219
"320",0.37822992741068
"321",0.448543703568476
"322",0.590447932874163
"323",0.451550676827624
"324",0.533299460510417
"325",0.533789606998357
"326",0.673296529438305
"327",0.578150808046253
"328",0.490700171105465
"329",0.490700171105465
"330",0.490700171105465
"331",0.630208655392118
"332",0.395230771871486
"333",0.636763838991573
"334",0.456990297857986
"335",0.407440784943458
"336",0.669799860463995
"337",0.419296547650223
"338",0.60134667257541
"339",0.422468873365763
"340",0.3825973272633
"341",0.668415202615436
"342",0.59236716503515
"343",0.599288122915859
"344",0.567427215037555
"345",0.634541810410831
"346",0.702620855630499
"347",0.739943178128233
"348",0.65611508039899
"349",0.523871184616697
"350",0.552729253757582
"351",0.624282939125942
"352",0.579648765146028
"353",0.548742328572722
"354",0.679590250363161
"355",0.801319858394485
"356",0.485186818323966
"357",0.401913175880913
"358",0.588016327932481
"359",0.559682408124206
"360",0.6227940962563
"361",0.662723737048614
"362",0.662723737048614
"363",0.662723737048614
"364",0.662723737048614
"365",0.474497062069667
"366",0.519788389310267
"367",0.472247020706533
"368",0.440399118987186
"369",0.76342014654974
"370",0.851010611355305
"371",0.583734234740351
"372",0.645897878075622
"373",0.481080492898807
"374",0.50793242835005
"375",0.612571482121446
"376",0.574679973994695
"377",0.480408512865507
"378",0.355832480969534
"379",0.754721446228132
"380",0.733933468802697
"381",0.568311886203201
"382",0.642614126114016
"383",0.595122262848687
"384",0.554985055533657
"385",0.427624211719242
"386",0.431620638799511
"387",0.559132600364763
"388",0.534087533574227
"389",0.47650145018817
"390",0.47650145018817
"391",0.47650145018817
"392",0.700293700580755
"393",0.601279280079474
"394",0.673355054199307
"395",0.399190036597764
"396",0.516397463221959
"397",0.358800921255153
"398",0.584273526527873
"399",0.575650304878718
"400",0.575650304878718
"401",0.575650304878718
"402",0.575650304878718
"403",0.575650304878718
"404",0.575650304878718
"405",0.575650304878718
"406",0.575650304878718
"407",0.575650304878718
"408",0.575650304878718
"409",0.575650304878718
"410",0.575650304878718
"411",0.575650304878718
"412",0.575650304878718
"413",0.575650304878718
"414",0.575650304878718
"415",0.575650304878718
"416",0.575650304878718
"417",0.575650304878718
"418",0.575650304878718
"419",0.575650304878718
"420",0.575650304878718
"421",0.575650304878718
"422",0.575650304878718
"423",0.575650304878718
"424",0.575650304878718
